,id,href,name_rus,name_eng,rating,rating_count,critics_rating,imdb_rating,imdb_rating_count,year,duration,genres,countries
5,12252,/film/skiny-1992-12252/,Скины,Romper Stomper,7.0360000000000005,16346.0,79,6.8,34385,1992,94,"криминал,боевик,драма",Австралия
6,4873,/film/4873/,Фрэнки и Джонни,Frankie and Johnny,7.562,5658.0,78,6.7,24874,1991,118,"драма,мелодрама,комедия",США
7,678269,/film/678269/,Космическая станция 76,Space Station 76,4.963,1258.0,67,4.9,6742,2014,95,"фантастика,драма,комедия",США
9,4743,/film/4743/,Три мушкетера,The Three Musketeers,6.252999999999999,4066.0,31,6.4,44526,1993,105,"боевик,приключения,семейный,комедия,мелодрама","Великобритания,США,Австрия"
11,161180,/film/pevets-2006-161180/,Певец,El cantante,6.635,1052.0,25,5.5,4297,2006,116,"драма,музыка,биография",США
15,86964,/film/ad-2005-86964/,Ад,L'enfer,6.942,866.0,67,6.9,2216,2005,102,драма,"Италия,Франция,Бельгия,Япония"
17,477855,/film/477855/,Зона 51,Area 51,4.224,1211.0,17,4.2,10661,2015,95,"фантастика,ужасы,триллер",США
20,974817,/film/974817/,Стена,The Wall,6.257999999999999,3180.0,66,6.2,18654,2017,88,"триллер,драма,военный",США
21,277328,/film/varkraft-2016-277328/,Варкрафт,Warcraft,7.599,138208.0,28,6.9,217267,2016,123,"боевик,приключения,фэнтези","Китай,США,Канада,Япония"
24,596231,/film/596231/,Страховщик,Autómata,5.792999999999999,20433.0,29,6.1,47148,2014,110,"фантастика,боевик,триллер","Болгария,США,Канада,Испания"
25,79836,/film/tokiyskaya-povest-1953-79836/,Токийская повесть,Tôkyô monogatari,8.052999999999999,7120.0,100,8.2,40497,1953,136,драма,Япония
27,102787,/film/102787/,"Девушка, которая слишком много знала",La ragazza che sapeva troppo,7.013,799.0,71,7.1,3123,1963,86,"триллер,детектив","США,Италия"
28,237940,/film/skeptik-2007-237940/,Скептик,The Skeptic,5.574,1592.0,8,5.8,3649,2007,89,"триллер,ужасы",США
30,195429,/film/195429/,Смертельный номер,Death Defying Acts,6.48,4127.0,42,5.8,8862,2007,97,"триллер,драма,мелодрама","Великобритания,Австралия"
31,482078,/film/razdelitel-2011-482078/,Разделитель,The Divide,6.372999999999999,16064.0,24,5.8,32084,2011,122,"фантастика,ужасы,драма,триллер","США,Канада,Франция,Германия"
32,713798,/film/iz-tmy-2015-713798/,Из тьмы,The Hallow,5.245,6195.0,72,5.7,12666,2015,97,ужасы,"Великобритания,США,Ирландия"
36,9980,/film/voyna-i-mir-1956-9980/,Война и мир,War and Peace,6.664,2010.0,33,6.8,7641,1956,208,"драма,мелодрама,военный","США,Италия"
37,621,/film/621/,Дневник Бриджет Джонс,Bridget Jones's Diary,7.481,85164.0,80,6.7,197321,2001,97,"драма,мелодрама,комедия","Великобритания,США,Франция"
41,4311,/film/4311/,Его игра,He Got Game,7.254,4856.0,80,6.9,38621,1998,136,"драма,спорт",США
45,3607,/film/3607/,Тит – правитель Рима,Titus,7.417999999999999,2153.0,68,7.2,18350,1999,162,"триллер,драма,история","США,Великобритания,Италия"
46,901796,/film/v-poiske-film-proshchanie-2016-901796/,В поиске — фильм-прощание ,Looking: The Movie,7.332000000000001,721.0,88,7.4,4974,2016,86,"драма,комедия",США
52,677880,/film/va-bank-2013-677880/,Va-банк,Runner Runner,6.055,33604.0,7,5.6,56331,2013,88,"триллер,криминал",США
53,5610,/film/idushhiy-v-ogne-1986-5610/,Идущий в огне,Firewalker,6.132999999999999,714.0,0,5.0,4886,1986,101,"боевик,приключения,комедия",США
57,6899,/film/6899/,Короли самоубийства,Suicide Kings,7.167999999999999,2171.0,34,7.0,23811,1997,102,"триллер,комедия,драма,криминал,детектив",США
59,78079,/film/78079/,Черная книга,Zwartboek,7.691,15138.0,76,7.8,65596,2006,145,"триллер,драма,военный","Великобритания,Нидерланды,Бельгия,Германия"
64,487226,/film/posledniy-mamont-frantsii-2010-487226/,Последний Мамонт Франции,Mammuth,5.773,926.0,63,6.1,3093,2010,91,"драма,комедия",Франция
69,970085,/film/970085/,Как это заканчивается,How It Ends,5.3629999999999995,1197.0,21,5.0,28122,2018,113,"боевик,фантастика,приключения,драма,триллер,детектив",США
71,11617,/film/11617/,Простая формальность,Una pura formalità,7.811,6026.0,80,7.8,8042,1993,107,"триллер,драма,детектив,криминал","Италия,Франция"
72,252107,/film/252107/,"Кто Вы, Мистер Брукс?",Mr. Brooks,7.193,25730.0,55,7.3,132450,2007,116,"триллер,драма,криминал",США
76,669941,/film/669941/,Тайна перевала Дятлова,,5.069,33507.0,55,5.7,18485,2013,100,"триллер,ужасы,фантастика","Россия,США"
84,954059,/film/954059/,Патерсон,Paterson,7.245,24575.0,96,7.4,50470,2016,118,"драма,мелодрама,комедия","США,Франция,Германия"
90,18349,/film/18349/,Любовники с Нового моста,Les amants du Pont-Neuf,7.635,3442.0,85,7.6,9880,1991,125,"драма,мелодрама",Франция
91,3456,/film/turbulentnost-1997-3456/,Турбулентность,Turbulence,6.087000000000001,3919.0,17,4.8,9677,1997,100,"триллер,боевик",США
92,160910,/film/on-ya-i-ego-druzya-2006-160910/,"Он, я и его друзья","You, Me and Dupree",6.562,16823.0,20,5.6,71682,2006,110,"мелодрама,комедия",США
93,607152,/film/pyataya-vlast-2013-607152/,Пятая власть,The Fifth Estate,6.571000000000001,25841.0,37,6.2,32790,2013,128,"триллер,драма,биография","Великобритания,Бельгия"
97,955963,/film/955963/,Нирджа,Neerja,7.667000000000001,1551.0,100,7.7,16352,2016,122,"триллер,драма,биография",Индия
99,402514,/film/restler-2008-402514/,Рестлер,The Wrestler,7.527,61005.0,98,7.9,269444,2008,105,"драма,спорт","США,Франция"
104,762833,/film/762833/,Игра на выживание,Beyond the Reach,5.6770000000000005,4331.0,37,5.6,8137,2014,92,триллер,США
105,464090,/film/sekretnaya-sluzhba-santa-klausa-2011-464090/,Секретная служба Санта-Клауса,Arthur Christmas,7.37,23198.0,92,7.1,42029,2011,97,"приключения,мультфильм,семейный,комедия,фэнтези","Великобритания,США"
107,4144,/film/shosse-v-nikuda-1996-4144/,Шоссе в никуда,Lost Highway,7.481,26428.0,60,7.6,114330,1996,134,"триллер,детектив","США,Франция"
108,22149,/film/22149/,Принц и я,The Prince & Me,6.849,10804.0,28,5.9,34032,2004,111,"семейный,мелодрама,комедия","США,Чехия"
110,4962,/film/pereklyuchaya-kanaly-1988-4962/,Переключая каналы,Switching Channels,7.153,912.0,60,5.9,2948,1988,105,"криминал,комедия",США
115,11719,/film/11719/,Список Эдриана Мессенджера,The List of Adrian Messenger,7.047999999999999,268.0,69,7.0,3944,1963,98,детектив,США
118,430571,/film/430571/,Душевная кухня,Soul Kitchen,7.121,12265.0,73,7.3,32253,2009,99,"драма,комедия","Италия,Франция,Германия"
120,582441,/film/582441/,Удар молнии,Struck by Lightning,7.122999999999999,8095.0,27,6.3,13731,2012,90,"драма,комедия",США
121,13137,/film/13137/,"Больше, чем жизнь",Larger Than Life,7.188,3833.0,11,5.6,5974,1996,93,"семейный,комедия",США
122,24084,/film/skannery-1980-24084/,Сканнеры,Scanners,6.608,2797.0,78,6.8,40125,1980,103,"фантастика,ужасы,триллер",Канада
124,495893,/film/495893/,Близнецы,The Skeleton Twins,6.475,2286.0,87,6.8,35370,2014,93,"драма,мелодрама,комедия",США
127,230840,/film/reyting-assotsiatsii-mpaa-2006-230840/,Рейтинг ассоциации MPAA,This Film Is Not Yet Rated,7.019,687.0,84,7.5,26092,2006,98,документальный,"Великобритания,США"
128,19093,/film/19093/,Клуб неудачниц,Crush,7.165,998.0,36,5.9,3357,2001,108,"драма,мелодрама,комедия","Великобритания,Германия"
129,565819,/film/565819/,Выживут только любовники,Only Lovers Left Alive,7.399,62312.0,84,7.3,76356,2013,118,"триллер,драма,фэнтези","Греция,Кипр,Германия,Великобритания,США,Франция"
130,13097,/film/13097/,Скорость падения,Terminal Velocity,6.254,1264.0,17,5.4,11670,1994,102,"триллер,боевик,детектив,мелодрама","США,Канада"
131,6124,/film/nechego-teryat-1997-6124/,Нечего терять,Nothing to Lose,7.791,33647.0,28,6.7,39907,1997,98,"криминал,боевик,приключения,комедия",США
132,455555,/film/455555/,Санта на продажу,Rare Exports,5.897,6475.0,89,6.7,22586,2010,79,"ужасы,приключения,фэнтези","Швеция,Финляндия,Норвегия,Франция"
133,766363,/film/766363/,Лайф,Life,6.0329999999999995,3073.0,64,6.0,6074,2015,111,"драма,биография","Канада,Австралия,Германия,Великобритания,США"
137,391751,/film/391751/,Предатель,Traitor,6.692,3292.0,64,7.0,51747,2008,114,"триллер,боевик,криминал,драма",США
140,4336,/film/otchayanno-ishchu-syuzen-1985-4336/,Отчаянно ищу Сьюзэн,Desperately Seeking Susan,6.682,1029.0,85,5.9,18282,1985,104,"драма,комедия",США
145,643,/film/643/,Граф Монте-Кристо,The Count of Monte Cristo,6.72,4639.0,74,7.7,112086,2002,131,"боевик,приключения,драма,триллер,мелодрама","Великобритания,США,Ирландия"
147,104920,/film/gromoboy-2006-104920/,Громобой,Stormbreaker,5.608,14252.0,35,5.1,21704,2006,93,"триллер,боевик,приключения,семейный","Великобритания,США,Германия"
152,463610,/film/medved-yogi-2010-463610/,Медведь Йоги,Yogi Bear,5.261,4833.0,13,4.6,18036,2010,80,"семейный,приключения,мультфильм,комедия","США,Новая Зеландия"
153,645126,/film/antivirus-2012-645126/,Антивирус,Antiviral,5.977,2500.0,65,5.7,10235,2012,110,"фантастика,ужасы,триллер","Канада,Франция"
156,105012,/film/malchik-na-troikh-2006-105012/,Мальчик на троих,Grandma's Boy,6.757000000000001,5489.0,16,7.0,72399,2006,94,комедия,США
159,461799,/film/461799/,Письма к Джульетте,Letters to Juliet,7.1579999999999995,43136.0,41,6.6,82968,2010,105,"драма,приключения,мелодрама,комедия",США
160,5197,/film/5197/,Миллионы Брюстера,Brewster's Millions,7.365,5045.0,36,6.5,30775,1985,102,комедия,США
161,8084,/film/fort-alamo-2004-8084/,Форт Аламо,The Alamo,6.162000000000001,1319.0,29,6.0,17724,2004,137,"драма,история,вестерн,военный",США
164,5257,/film/5257/,Доблестные воины,Warriors of Virtue,5.651,362.0,18,4.6,2477,1997,101,"боевик,приключения,фэнтези","Китай,США,Канада,Гонконг"
165,715319,/film/715319/,Ты не ты,You're Not You,7.332999999999999,7885.0,47,7.4,20524,2014,103,драма,США
166,481523,/film/481523/,Сумасшедшая езда,Drive Angry,5.669,28103.0,47,5.4,87433,2010,104,"триллер,боевик,фэнтези",США
167,771227,/film/771227/,История дельфина 2,Dolphin Tale 2,6.93,2601.0,65,6.4,7074,2014,107,"драма,семейный",США
168,31876,/film/chetvertyy-muzhchina-1983-31876/,Четвертый мужчина,De vierde man,7.332000000000001,1687.0,100,7.3,5929,1983,102,"триллер,драма,детектив",Нидерланды
169,466831,/film/466831/,Паранойя,Paranoia,6.081,19755.0,7,5.7,31908,2013,106,"триллер,драма","США,Индия,Франция"
172,22324,/film/koder-2002-22324/,Кодер,Cypher,6.982,6181.0,58,6.8,28386,2002,95,"фантастика,детектив,триллер",США
173,8127,/film/8127/,Фирма,The Firm,7.167000000000001,10936.0,75,6.8,99170,1993,154,"триллер,драма,детектив",США
176,425634,/film/topor-2-2010-425634/,Топор 2,Hatchet II,4.783,1408.0,38,5.5,10618,2010,85,"триллер,ужасы,комедия",США
178,4003,/film/4003/,Сфера,Sphere,6.914,20007.0,12,6.1,89893,1998,134,"фантастика,ужасы,драма,триллер,детектив",США
179,25000,/film/muzykant-1993-25000/,Музыкант,El mariachi,6.942,5969.0,93,6.9,56159,1993,81,"триллер,боевик,криминал",США
181,17818,/film/uitneyl-i-ya-1986-17818/,Уитнэйл и Я,Withnail & I,7.8,7104.0,94,7.8,34430,1986,107,"драма,комедия",Великобритания
187,603222,/film/volchya-yama-2-2013-603222/,Волчья яма 2,Wolf Creek 2,6.1,2991.0,49,6.1,14686,2013,106,"ужасы,боевик",Австралия
190,775,/film/775/,Обыкновенный преступник,Ordinary Decent Criminal,6.803,3053.0,14,6.4,12429,1999,93,"криминал,комедия","Великобритания,США,Ирландия,Германия"
192,15296,/film/moya-devochka-1991-15296/,Моя девочка,My Girl,7.835,6815.0,53,6.8,61804,1991,102,"драма,семейный,мелодрама,комедия",США
196,470038,/film/gospoda-bronko-2009-470038/,Господа Бронко,Gentlemen Broncos,6.765,1666.0,19,6.2,9731,2009,90,"фантастика,приключения,комедия",США
200,458338,/film/shalnye-dengi-2010-458338/,Шальные деньги,Snabba cash,6.67,2197.0,85,6.7,15038,2010,124,"триллер,боевик,криминал,драма","Швеция,Франция,Дания,Германия"
201,648,/film/sorvigolova-2003-648/,Сорвиголова,Daredevil,6.138999999999999,49545.0,44,5.3,193563,2003,103,"криминал,боевик",США
204,978425,/film/978425/,Стальной алхимик,Hagane no renkinjutsushi,5.482,815.0,36,5.9,15833,2017,135,"боевик,приключения,фэнтези",Япония
210,2467,/film/2467/,Охотники за привидениями,Ghost Busters,7.97,94321.0,97,7.8,307035,1984,105,"фантастика,боевик,фэнтези,комедия",США
211,7321,/film/7321/,Дом призраков,Haunted,6.756,2635.0,80,6.2,5603,1995,108,"ужасы,драма","Великобритания,США"
213,568358,/film/kak-zanimatsya-lyubovyu-po-angliyski-2014-568358/,Как заниматься любовью по-английски,Some Kind of Beautiful,5.886,6130.0,6,5.7,10550,2014,99,"мелодрама,комедия","США,Великобритания"
215,17643,/film/17643/,Законы привлекательности,Laws of Attraction,7.232,23826.0,18,5.9,20379,2004,87,"мелодрама,комедия","Великобритания,Ирландия,Германия"
216,602677,/film/602677/,Соседи. На тропе войны,Neighbors,5.945,53873.0,72,6.3,247497,2014,97,комедия,США
217,4895,/film/4895/,Чудо,Miracle,6.834,2891.0,80,7.5,40951,2004,135,"драма,история,спорт,биография","США,Канада"
222,623,/film/623/,Клуб разбитых сердец: Романтическая комедия,The Broken Hearts Club: A Romantic Comedy,6.405,223.0,64,7.0,6515,2000,94,"драма,спорт,мелодрама,комедия",США
223,416824,/film/rok-volna-2009-416824/,Рок-волна,The Boat That Rocked,7.881,78565.0,61,7.4,97767,2009,129,"драма,музыка,комедия","Великобритания,Франция,Германия"
225,421982,/film/gnev-2009-421982/,Гнев,Rage,6.877000000000001,553.0,29,4.9,943,2009,98,драма,"Великобритания,США"
226,899953,/film/899953/,Геенна: Где живёт смерть,Gehenna: Where Death Lives,4.971,213.0,50,5.4,151,2016,105,"триллер,ужасы,детектив,фантастика","США,Япония"
227,394468,/film/intsident-sindzyuku-2009-394468/,Инцидент Синдзюку,San suk si gin,7.343999999999999,3836.0,60,7.1,9803,2009,119,"триллер,боевик,криминал,драма",Гонконг
230,252030,/film/moy-domashniy-dinozavr-2007-252030/,Мой домашний динозавр,The Water Horse,7.062,9002.0,74,6.5,33728,2007,112,"приключения,фэнтези,семейный","Великобритания,Австралия,Новая Зеландия"
231,195283,/film/195283/,Отважная,The Brave One,6.961,7769.0,43,6.8,53917,2007,117,"триллер,драма,криминал",США
232,2823,/film/2823/,Бегство с планеты обезьян,Escape from the Planet of the Apes,6.742000000000001,3232.0,80,6.3,27504,1971,98,"фантастика,боевик",США
241,19299,/film/19299/,Подставное тело,Body Double,6.666,1665.0,78,6.8,23375,1984,114,"триллер,детектив",США
242,489847,/film/489847/,Лучшая жизнь,A Better Life,7.153,5994.0,85,7.2,13874,2011,98,"драма,мелодрама",США
247,23237,/film/23237/,Капитан Америка,Captain America,4.378,1646.0,9,3.3,9393,1990,97,"фантастика,боевик,приключения,военный","США,Югославия"
253,506239,/film/506239/,Любовь,Amour,7.519,16669.0,93,7.9,79483,2012,127,"драма,мелодрама","Австрия,Франция,Германия"
260,422792,/film/madagaskar-3-2012-422792/,Мадагаскар 3,Madagascar 3: Europe's Most Wanted,7.431,86355.0,79,6.9,135877,2012,93,"семейный,приключения,мультфильм,комедия",США
264,337,/film/337/,Окно во двор,Rear Window,8.038,36985.0,100,8.5,382584,1954,112,"триллер,детектив",США
265,646313,/film/646313/,Кровавая месть,In the Blood,5.763999999999999,4114.0,39,5.8,9608,2013,107,"триллер,боевик,криминал","Великобритания,Пуэрто Рико"
268,505774,/film/ochen-opasnaya-shtuchka-2012-505774/,Очень опасная штучка,One for the Money,5.939,23245.0,2,5.3,37152,2012,91,"боевик,криминал,комедия,триллер,мелодрама",США
270,859,/film/859/,Страна тигров,Tigerland,7.455,5252.0,76,7.0,34754,2000,101,"драма,военный","США,Германия"
271,604,/film/korolevskaya-bitva-2000-604/,Королевская битва,Batoru rowaiaru,7.581,23950.0,86,7.7,153255,2000,114,"фантастика,драма,приключения,триллер",Япония
279,340,/film/podozritelnye-lica-1995-340/,Подозрительные лица,The Usual Suspects,7.8629999999999995,64936.0,89,8.6,868698,1995,106,"триллер,криминал,детектив","США,Германия"
281,40666,/film/roboty-2005-40666/,Роботы,Robots,7.202999999999999,27749.0,64,6.3,116110,2005,91,"фантастика,приключения,мультфильм,семейный,комедия",США
287,263172,/film/teni-2007-263172/,Тени,Senki,5.91,258.0,60,6.9,1745,2007,130,"триллер,ужасы,детектив,драма","Италия,Македония,Германия,Болгария,Испания"
289,714101,/film/714101/,Пало-Альто,Palo Alto,6.662000000000001,8975.0,70,6.2,23976,2013,98,драма,США
290,9317,/film/9317/,Поворот судьбы,A Simple Twist of Fate,6.875,406.0,43,6.3,4540,1994,106,"драма,комедия",США
292,17130,/film/vykhod-k-rayu-1994-17130/,Выход к Раю,Exit to Eden,6.086,497.0,6,4.1,5873,1994,113,"мелодрама,комедия",США
295,455773,/film/455773/,Люди в черном 3,Men in Black 3,7.23,133539.0,68,6.8,290390,2012,106,"фантастика,боевик,приключения,комедия",США
296,807221,/film/807221/,Февраль,February,5.692,1365.0,72,5.8,9851,2015,93,"триллер,ужасы","США,Канада"
297,582354,/film/baykery-3-2013-582354/,Байкеры 3,Dhoom:3,7.522,1762.0,80,5.4,37103,2013,172,"триллер,боевик,криминал",Индия
298,714849,/film/714849/,Гостиная,The Keeping Room,5.862,436.0,75,6.0,4709,2014,95,"драма,вестерн",США
299,195272,/film/malchik-v-devochke-2006-195272/,Мальчик в девочке,It's a Boy Girl Thing,6.797000000000001,55368.0,67,6.3,35716,2006,95,"мелодрама,фэнтези,комедия","США,Великобритания,Канада"
303,18265,/film/18265/,Короли мамбо,The Mambo Kings,7.195,464.0,81,6.4,4535,1992,104,"драма,музыка","США,Франция"
306,692859,/film/692859/,Супер Майк XXL,Magic Mike XXL,5.992999999999999,17761.0,65,5.6,46059,2015,115,"драма,музыка,комедия",США
307,260206,/film/mstiteli-2007-260206/,Мстители,The Comebacks,5.17,1082.0,9,4.2,10327,2007,88,"спорт,комедия",США
308,924990,/film/kosmos-mezhdu-nami-2017-924990/,Космос между нами,The Space Between Us,6.455,19694.0,17,6.4,37245,2017,120,"фантастика,драма,приключения,мелодрама",США
309,484470,/film/lipuchka-2011-484470/,Липучка,Flypaper,6.925,25776.0,17,6.4,29493,2011,85,"криминал,детектив,комедия","США,Германия"
310,12132,/film/lozhnyy-ogon-1996-12132/,Ложный огонь,Foxfire,7.006,3086.0,27,6.2,7549,1996,102,драма,США
315,51587,/film/51587/,Быть Стэнли Кубриком,Colour Me Kubrick: A True...ish Story,6.919,3562.0,49,6.2,5924,2005,86,"драма,комедия","Великобритания,Франция"
317,19117,/film/19117/,Великий мышиный сыщик,The Great Mouse Detective,7.735,5122.0,81,7.2,38067,1986,74,"приключения,мультфильм,семейный,мюзикл,детектив",США
318,722995,/film/722995/,Свет в океане,The Light Between Oceans,7.242000000000001,28582.0,61,7.2,34257,2016,130,"драма,мелодрама","Великобритания,США,Новая Зеландия"
320,493223,/film/493223/,Скайлайн,Skyline,4.655,51147.0,16,4.4,82085,2010,88,"фантастика,боевик,триллер",США
322,707828,/film/lyubov-seks-i-los-andzheles-2013-707828/,"Любовь, секс и Лос-Анджелес",Cavemen,5.327000000000001,1734.0,8,5.3,4009,2013,87,"мелодрама,комедия",США
323,5277,/film/5277/,Мулан,Mulan,8.062999999999999,105101.0,86,7.6,200172,1998,84,"приключения,мультфильм,семейный,мюзикл,военный,фэнтези",США
325,27485,/film/27485/,Воздушные приключения,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,7.706,1098.0,71,7.0,6402,1965,138,"семейный,приключения,комедия",Великобритания
327,2113,/film/2113/,Огни рампы,Limelight,8.067,5092.0,97,8.1,15546,1952,137,"драма,музыка,мелодрама",США
329,418840,/film/voyna-bogov-bessmertnye-2011-418840/,Война Богов: Бессмертные,Immortals,5.8229999999999995,46547.0,37,6.0,148184,2011,110,"мелодрама,боевик,драма,фэнтези",США
333,678392,/film/tysyachu-raz-spokoynoy-nochi-2013-678392/,Тысячу раз «спокойной ночи»,Tusen ganger god natt,7.3389999999999995,1077.0,70,7.1,6428,2013,111,"драма,военный","Швеция,Норвегия,Ирландия"
339,757268,/film/volk-politseyskiy-2014-757268/,Волк-полицейский,WolfCop,5.307,517.0,65,5.5,4601,2014,79,"ужасы,комедия",Канада
341,26808,/film/neobychnyy-den-1977-26808/,Необычный день,Una giornata particolare,7.935,936.0,100,8.1,8958,1977,106,драма,"Канада,Италия"
342,11695,/film/11695/,Ничтожество,Insignificance,6.617999999999999,293.0,67,6.7,2632,1985,109,"драма,комедия",Великобритания
344,1656,/film/poslanie-v-butylke-1999-1656/,Послание в бутылке,Message in a Bottle,7.59,14990.0,32,6.2,32005,1999,126,"драма,мелодрама",США
345,16997,/film/16997/,Свяжи меня,¡Átame!,7.277,5151.0,70,7.0,20848,1989,101,"криминал,драма,мелодрама,комедия",Испания
346,2055,/film/2055/,Парень из пузыря,Bubble Boy,6.289,14036.0,30,5.6,27689,2001,84,"фантастика,приключения,мелодрама,комедия",США
351,474292,/film/ubezhishche-2009-474292/,Убежище,Le refuge,6.506,2178.0,86,6.4,2273,2009,88,драма,Франция
355,16953,/film/16953/,Осень в Нью-Йорке,Autumn in New York,7.446000000000001,23507.0,19,5.6,22696,2000,103,"драма,мелодрама",США
356,22872,/film/nosferatu-prizrak-nochi-1978-22872/,Носферату: Призрак ночи,Nosferatu: Phantom der Nacht,7.297999999999999,3722.0,94,7.6,27337,1978,107,ужасы,"Германия (ФРГ),Франция"
358,47040,/film/vozvrashchenie-2003-47040/,Возвращение,,7.852,43236.0,95,8.0,36735,2003,106,"триллер,драма,детектив",Россия
359,273209,/film/273209/,"Девочка, покорившая время",Toki o kakeru shôjo,7.974,59185.0,87,7.8,48564,2006,98,"аниме,фантастика,мультфильм,комедия,драма,мелодрама",Япония
365,15933,/film/15933/,Дорога домой: Невероятное путешествие,Homeward Bound: The Incredible Journey,7.915,14065.0,87,6.9,37259,1993,84,"драма,семейный,приключения,комедия",США
368,88253,/film/88253/,Месть,The Return,5.558,1648.0,16,4.8,10470,2006,85,"триллер,ужасы,детектив",США
369,102161,/film/102161/,Бесстрашный,Huo yuanjia,8.118,13589.0,74,7.7,66864,2006,104,"боевик,биография,спорт,драма","Китай,Гонконг"
370,467686,/film/proshchalnyy-kvartet-2012-467686/,Прощальный квартет,A Late Quartet,6.962999999999999,1101.0,77,7.1,12421,2012,105,"драма,музыка",США
372,727582,/film/strast-i-vernost-2017-727582/,Страсть и верность,Le Fidèle,5.685,753.0,33,6.4,2487,2017,130,"криминал,драма","Нидерланды,Франция,Бельгия"
373,776176,/film/20-000-dney-na-zemle-2014-776176/,20 000 дней на Земле,"20,000 Days on Earth",7.4239999999999995,1968.0,95,7.5,9652,2014,97,"драма,музыка,документальный",Великобритания
375,2524,/film/ubiystvo-v-gross-poynte-1997-2524/,Убийство в Гросс-Пойнте,Grosse Pointe Blank,6.667999999999999,2357.0,80,7.4,79046,1997,107,"боевик,триллер,комедия,криминал,мелодрама",США
378,4815,/film/4815/,От заката до рассвета,From Dusk Till Dawn,7.796,135358.0,63,7.3,246353,1995,108,"боевик,криминал,комедия,ужасы,триллер,фэнтези",США
380,4407,/film/4407/,Рядовой Бенджамин,Private Benjamin,6.814,2545.0,81,6.1,20303,1980,109,"военный,комедия",США
383,196748,/film/luzery-2010-196748/,Лузеры,The Losers,6.354,24005.0,48,6.4,80267,2010,97,"боевик,криминал,приключения,комедия,триллер,детектив",США
387,909898,/film/pod-pokrovom-nochi-2016-909898/,Под покровом ночи,Nocturnal Animals,7.287999999999999,75803.0,73,7.5,178617,2016,116,"триллер,драма,криминал,мелодрама",США
389,1047365,/film/1047365/,Оверлорд,Overlord,6.546,5026.0,80,7.1,10218,2018,110,"боевик,фантастика,приключения,ужасы,военный,детектив",США
390,901594,/film/pochetnyy-grazhdanin-2015-901594/,Почетный гражданин,El ciudadano ilustre,6.82,1362.0,100,7.5,4181,2015,118,"драма,комедия","Аргентина,Испания"
396,944098,/film/tri-bilborda-na-granitse-ebbinga-missuri-2017-944098/,"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri",8.187000000000001,136215.0,91,8.2,288346,2017,115,"криминал,драма","Великобритания,США"
398,497,/film/497/,Римские каникулы,Roman Holiday,8.283,82225.0,98,8.1,114708,1953,118,"мелодрама,комедия",США
400,102124,/film/piraty-karibskogo-morya-na-krayu-sveta-2007-102124/,Пираты Карибского моря: На краю Света,Pirates of the Caribbean: At World's End,8.011000000000001,234134.0,44,7.1,530899,2007,169,"боевик,приключения,фэнтези",США
405,807818,/film/molodost-2015-807818/,Молодость,Youth,7.268,37595.0,72,7.3,61775,2015,124,"драма,музыка,мелодрама,комедия","Великобритания,Италия,Франция,Швейцария"
406,749540,/film/kingsman-sekretnaya-sluzhba-2015-749540/,Kingsman: Секретная служба,Kingsman: The Secret Service,7.626,192533.0,75,7.7,520558,2015,130,"криминал,боевик,приключения,комедия","Великобритания,США"
409,584175,/film/584175/,Тебе конец!,You're Next,6.129,16560.0,77,6.5,73832,2013,94,"триллер,ужасы","США,Великобритания"
423,5997,/film/5997/,Гольф-клуб,Caddyshack,6.307,1244.0,74,7.3,90770,1980,98,"спорт,комедия",США
425,86198,/film/9-pesen-2004-86198/,9 песен,9 Songs,5.306,5502.0,24,4.9,19070,2004,71,"драма,музыка,для взрослых,мелодрама",Великобритания
427,50211,/film/50211/,Любовь вне правил,Leatherheads,6.412000000000001,3061.0,52,6.0,28811,2008,114,"драма,спорт,мелодрама,комедия","США,Германия"
429,5546,/film/igrushechnye-soldatiki-1991-5546/,Игрушечные солдатики,Toy Soldiers,7.3629999999999995,1268.0,36,6.5,17576,1991,111,"триллер,боевик,драма",США
431,31392,/film/eda-i-zhenshchiny-na-skoruyu-ruku-2000-31392/,Еда и женщины на скорую руку,Fast Food Fast Women,6.711,906.0,47,6.5,1937,2000,95,"мелодрама,комедия","Италия,США,Франция"
432,782792,/film/shpion-2015-782792/,Шпион,Spy,7.104,98398.0,94,7.0,205736,2015,119,"криминал,боевик,комедия",США
434,280905,/film/280905/,Яркая звезда,Bright Star,7.227,6945.0,82,7.0,22661,2009,119,"драма,биография,мелодрама","Великобритания,Австралия,Франция"
437,36680,/film/basseyn-2001-36680/,Бассейн,Swimming Pool - Der Tod feiert mit,5.362,2739.0,36,4.3,2433,2001,92,"триллер,ужасы",Германия
440,1608,/film/obsuzhdeniyu-ne-podlezhit-2002-1608/,Обсуждению не подлежит,Undisputed,6.779,8526.0,48,6.2,24657,2002,96,"криминал,боевик,спорт,драма","США,Германия"
447,260900,/film/parizhskaya-istoriya-2006-260900/,Парижская история,Dans Paris,6.797999999999999,2592.0,60,6.5,3620,2006,92,драма,"Франция,Португалия"
450,160933,/film/160933/,Любители истории,The History Boys,7.055,2588.0,65,6.9,18624,2006,109,"драма,мелодрама,комедия",Великобритания
