,id,href,name_rus,name_eng,rating,rating_count,critics_rating,imdb_rating,imdb_rating_count,year,duration,genres,countries
5353,6051,/film/6051/,Принц из снов,Dream for an Insomniac,6.136,295.0,50,6.2,2463,1996,90,"драма,мелодрама,комедия",США
5354,77628,/film/marigold-puteshestvie-v-indiyu-2007-77628/,Мариголд: Путешествие в Индию,Marigold,6.853,224.0,32,5.0,1658,2007,110,комедия,"Индия,США"
5359,252626,/film/v-dikikh-usloviyakh-2007-252626/,В диких условиях,Into the Wild,7.926,108108.0,82,8.1,496532,2007,148,"драма,приключения,биография",США
5364,7779,/film/7779/,Такого рода любовь,A Kind of Loving,6.76,180.0,100,7.4,1242,1962,113,"драма,мелодрама",Великобритания
5369,7723,/film/7723/,Черный Орфей,Orfeu Negro,7.165,528.0,89,7.5,8064,1959,100,"драма,музыка,мелодрама,фэнтези","Франция,Бразилия,Италия"
5378,8739,/film/8739/,Невесты Дракулы,The Brides of Dracula,6.098,333.0,75,6.8,5515,1960,85,ужасы,Великобритания
5381,397572,/film/est-tam-kto-nibud-2009-397572/,Есть там кто-нибудь?,Is Anybody There?,6.915,703.0,65,6.8,4338,2009,94,драма,Великобритания
5382,3741,/film/3741/,Ребята с улицы,Boyz n the Hood,7.735,7400.0,96,7.8,104769,1991,112,"драма,криминал",США
5387,32534,/film/zavodnye-1979-32534/,Заводные,Spetters,7.291,543.0,78,6.6,4165,1979,120,"драма,мелодрама,спорт",Нидерланды
5394,18498,/film/semeynyy-ochag-1970-18498/,Семейный очаг,Domicile conjugal,7.569,1388.0,78,7.6,6441,1970,100,"драма,комедия","Франция,Италия"
5396,47202,/film/bob-prozhigatel-1956-47202/,Боб-прожигатель,Bob le flambeur,6.952999999999999,593.0,97,7.8,8726,1956,98,"драма,криминал,триллер",Франция
5398,4374,/film/piraty-karibskogo-morya-proklyatie-chernoy-zhemchuzhiny-2003-4374/,Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,8.337,344833.0,79,8.0,918601,2003,143,"боевик,приключения,фэнтези",США
5408,57194,/film/velikoe-molchanie-1968-57194/,Великое молчание,Il grande silenzio,7.5889999999999995,1686.0,100,7.8,10991,1968,105,вестерн,"Франция,Италия"
5409,690055,/film/690055/,"Думай, как мужчина 2",Think Like a Man Too,5.957000000000001,2455.0,23,5.8,16805,2014,106,"мелодрама,комедия",США
5416,625889,/film/625889/,Почтальон Пэт,Postman Pat: The Movie,5.2379999999999995,508.0,44,4.6,1354,2014,88,"мультфильм,семейный,комедия",Великобритания
5417,195826,/film/posle-svadby-2006-195826/,После свадьбы,Efter brylluppet,7.307,2443.0,88,7.8,28427,2006,120,драма,"Норвегия,Швеция,Великобритания,Дания"
5418,49023,/film/49023/,Короли и королева,Rois et reine,6.718,320.0,86,7.2,3410,2004,150,"драма,мелодрама,комедия",Франция
5419,279602,/film/drugoy-muzhchina-2008-279602/,Другой мужчина,The Other Man,5.935,3285.0,15,5.5,9706,2008,88,"драма,мелодрама,триллер","Великобритания,США"
5420,523402,/film/nochnoy-poezd-do-lissabona-2012-523402/,Ночной поезд до Лиссабона,Night Train to Lisbon,6.761,2791.0,44,6.8,14763,2012,110,"детектив,мелодрама,триллер","Португалия,Швейцария,Германия"
5422,887518,/film/naturalnye-upyri-2016-887518/,Натуральные упыри,Eat Locals,5.459,1330.0,25,5.2,1013,2016,94,"боевик,ужасы,комедия",Великобритания
5423,427252,/film/svyatye-iz-bundoka-2-den-vsekh-svyatykh-2009-427252/,Святые из Бундока 2: День всех святых,The Boondock Saints II: All Saints Day,6.895,16984.0,23,6.3,55997,2009,118,"триллер,боевик,драма,криминал,комедия",США
5424,4807,/film/4807/,"Не грози южному централу, попивая сок у себя в квартале",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,7.229,60296.0,31,6.6,42888,1995,89,"криминал,комедия",США
5428,272123,/film/272123/,"Добро пожаловать домой, Роско Дженкинс","Welcome Home, Roscoe Jenkins",6.18,2047.0,23,5.4,11467,2008,114,"мелодрама,комедия",США
5430,848894,/film/vtoraya-zhizn-uve-2015-848894/,Вторая жизнь Уве,En man som heter Ove,7.859,36161.0,90,7.7,32469,2015,116,"драма,мелодрама,комедия",Швеция
5436,102343,/film/102343/,Хостел,Hostel,6.145,34462.0,61,5.9,150825,2005,94,"триллер,детектив,ужасы","Чехия,Германия,Исландия,США,Словакия"
5440,782931,/film/782931/,Суфражистка,Suffragette,6.869,6670.0,73,6.9,31374,2015,106,"драма,биография,история","Франция,Великобритания"
5441,645108,/film/avgustina-2012-645108/,Августина,Augustine,5.797999999999999,266.0,73,6.0,1068,2012,102,драма,Франция
5442,426002,/film/legion-2010-426002/,Легион,Legion,5.513999999999999,54633.0,19,5.2,87745,2010,100,"боевик,ужасы,фэнтези",США
5443,426952,/film/proshloy-nochyu-v-nyu-yorke-2009-426952/,Прошлой ночью в Нью-Йорке,Last Night,7.257999999999999,48684.0,53,6.6,43093,2009,85,мелодрама,"Франция,США"
5445,4439,/film/4439/,Лепестки надежды,Hope Springs,6.157,1132.0,23,5.4,6024,2003,92,"мелодрама,комедия","Великобритания,США"
5447,2798,/film/dikie-koshki-1986-2798/,Дикие кошки,Wildcats,6.575,410.0,18,5.9,10441,1986,106,"спорт,комедия",США
5450,419630,/film/vne-zakona-2010-419630/,Вне закона,Hors la loi,6.422000000000001,617.0,76,6.6,3164,2010,137,"военный,драма,криминал","Франция,Бельгия,Алжир,Тунис,Италия"
5453,15330,/film/sestrichki-s-vykidnymi-lezviyami-1975-15330/,Сестрички с выкидными лезвиями,The Jezebels,6.557,150.0,53,6.6,2901,1975,91,"боевик,драма,криминал",США
5456,991225,/film/991225/,Проклятие монахини,The Nun,5.832999999999999,16908.0,27,5.6,53069,2018,96,"триллер,детектив,ужасы",США
5458,6175,/film/6175/,Дневник баскетболиста,The Basketball Diaries,7.847,59163.0,46,7.3,88476,1995,102,"драма,биография,криминал,спорт",США
5461,809,/film/809/,Семейка Тененбаум,The Royal Tenenbaums,7.436,27181.0,80,7.6,235260,2001,110,"драма,комедия",США
5464,391893,/film/391893/,Карамель,Sukkar banat,6.691,634.0,92,7.2,10521,2007,95,"драма,мелодрама,комедия","Ливан,Франция"
5467,8117,/film/8117/,Империя,Empire,6.067,355.0,21,6.0,6846,2002,90,"драма,криминал,триллер",США
5471,696148,/film/plennitsa-2013-696148/,Пленница,The Captive,5.945,4854.0,30,5.9,22481,2013,112,"драма,триллер",Канада
5472,254765,/film/254765/,Ритуал ,Riten,7.51,712.0,80,7.3,1710,1969,72,драма,Швеция
5474,4924,/film/ubiystvo-v-belom-dome-1997-4924/,Убийство в Белом доме,Murder at 1600,6.47,1087.0,33,6.1,25671,1997,107,"триллер,боевик,драма,детектив,криминал",США
5476,79347,/film/79347/,Мотра,Mosura,5.845,282.0,75,6.6,2665,1961,101,"триллер,фантастика,фэнтези",Япония
5478,3485,/film/3485/,Жизненная сила,Lifeforce,6.0760000000000005,1126.0,67,6.1,17842,1985,101,"боевик,фантастика,мелодрама,ужасы,детектив,триллер","Великобритания,США"
5481,4093,/film/4093/,Как в старое доброе время,Seems Like Old Times,7.236000000000001,812.0,71,6.7,7379,1980,102,"мелодрама,комедия",США
5485,12357,/film/12357/,Битва за планету обезьян,Battle for the Planet of the Apes,6.026,2565.0,37,5.5,25566,1973,86,"боевик,фантастика",США
5488,40732,/film/russkiy-kovcheg-2002-40732/,Русский ковчег,,7.059,4533.0,89,7.4,16340,2002,96,"драма,детектив,история,фэнтези","Финляндия,Япония,Германия,Россия,Канада,Дания"
5491,650,/film/na-samom-dne-2001-650/,На самом дне,The Deep End,6.542000000000001,750.0,82,6.7,10258,2001,101,"триллер,драма,мелодрама,детектив,криминал",США
5492,1813,/film/1813/,Плохие девчонки,Bad Girls,6.0889999999999995,685.0,9,5.1,10363,1994,99,"мелодрама,вестерн",США
5498,9543,/film/9543/,Заложник,Hostage,7.053,19994.0,35,6.6,99484,2005,113,"триллер,боевик,драма,детектив,криминал","Германия,США"
5499,262870,/film/nina-2016-262870/,Нина,Nina,6.119,230.0,2,5.2,1717,2016,90,"драма,музыка,биография",Великобритания
5501,6219,/film/6219/,Вирус,Virus,6.5329999999999995,10287.0,10,4.9,23572,1998,99,"боевик,триллер,фантастика,ужасы","Япония,Германия,Франция,Великобритания,США"
5507,892327,/film/892327/,"Послушай меня, Марлон",Listen to Me Marlon,8.327,546.0,96,8.2,5440,2015,103,"биография,документальный",Великобритания
5508,2337,/film/2337/,Шлюха,Jade,5.817,548.0,14,5.2,10129,1995,95,"драма,криминал,триллер",США
5511,607737,/film/607737/,Глубоководный горизонт,Deepwater Horizon,7.0360000000000005,48065.0,83,7.2,109208,2016,107,"боевик,драма,триллер","Гонконг,США"
5523,9610,/film/sladkiy-i-gadkiy-1999-9610/,Сладкий и гадкий,Sweet and Lowdown,7.237,4221.0,78,7.3,29625,1999,95,"драма,музыка,комедия",США
5525,8866,/film/kokon-1985-8866/,Кокон,Cocoon,7.1770000000000005,6596.0,77,6.7,49155,1985,117,"драма,фантастика",США
5526,63896,/film/sredizemnoe-more-1991-63896/,Средиземное море,Mediterraneo,7.29,576.0,79,7.4,11894,1991,96,"драма,военный,комедия",Италия
5527,470880,/film/dom-dyavola-2008-470880/,Дом дьявола,The House of the Devil,5.472,1849.0,87,6.4,34612,2008,95,ужасы,США
5528,518214,/film/bomzh-s-drobovikom-2011-518214/,Бомж с дробовиком,Hobo with a Shotgun,5.945,18589.0,65,6.1,40411,2011,86,"боевик,криминал,триллер",Канада
5530,55118,/film/tabu-1999-55118/,Табу,Gohatto,7.176,2093.0,67,6.9,6329,1999,100,"драма,история,триллер","Япония,Франция,Великобритания"
5531,434,/film/afrikanskaya-koroleva-1951-434/,Африканская королева,The African Queen,7.225,1933.0,98,7.9,63403,1951,105,"драма,приключения,мелодрама,военный","Великобритания,США"
5532,270249,/film/270249/,Катынь,Katyń,6.896,2944.0,94,7.1,13737,2007,119,"драма,история,военный",Польша
5533,602005,/film/602005/,17 девушек,17 filles,5.901,2398.0,67,6.0,2792,2011,86,драма,Франция
5534,7449,/film/7449/,Газонокосильщик,The Lawnmower Man,6.638999999999999,12482.0,34,5.4,30137,1992,140,"фантастика,ужасы","Япония,Великобритания,США"
5535,4333,/film/4333/,Энтузиаст,Gung Ho,6.401,224.0,33,6.2,10205,1986,112,"драма,комедия",США
5537,838655,/film/838655/,Фантазм 5,Phantasm: Ravager,5.132000000000001,787.0,54,5.0,2286,2016,87,"боевик,ужасы,фэнтези",США
5541,1038227,/film/1038227/,Двуличный любовник,L'amant double,6.279,7737.0,71,6.2,7029,2017,110,"драма,мелодрама,триллер","Франция,Бельгия"
5543,21432,/film/edvard-ii-1991-21432/,Эдвард II,Edward II,7.101,408.0,100,7.0,2024,1991,87,"драма,мелодрама,история","Япония,Великобритания"
5549,8282,/film/sladkiy-zapakh-uspekha-1957-8282/,Сладкий запах успеха,Sweet Smell of Success,7.425,1591.0,98,8.2,22640,1957,96,"фильм-нуар,драма",США
5550,585340,/film/rimskie-priklyucheniya-2012-585340/,Римские приключения,To Rome with Love,7.002999999999999,35225.0,45,6.3,77712,2012,112,"музыка,мелодрама,комедия","Испания,США,Италия"
5554,4165,/film/4165/,Американские горки,Switchback,7.0520000000000005,2148.0,32,6.4,10801,1997,118,"детектив,криминал,триллер",США
5555,88123,/film/88123/,Битва у Красной скалы,Chibi,7.4879999999999995,7474.0,90,7.4,39968,2008,146,"история,военный,боевик,драма,приключения","Корея Южная,Япония,Гонконг,Китай,Тайвань"
